image_path,value
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00000.png,32.489
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00001.png,9.368
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00002.png,40.704
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00003.png,-12.272
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00004.png,30.209
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00005.png,39.229
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00006.png,-26.454
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00007.png,36.767
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00008.png,30.849
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00009.png,36.299
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00010.png,3.526
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00011.png,37.156
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00012.png,-6.678
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00013.png,-19.940
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00014.png,35.841
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00015.png,-7.078
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00016.png,47.793
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00017.png,6.638
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00018.png,12.403
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00019.png,5.092
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00020.png,43.293
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00021.png,41.108
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00022.png,16.936
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00023.png,41.221
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00024.png,9.478
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00025.png,-3.356
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00026.png,-11.823
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00027.png,37.806
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00028.png,-4.768
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00029.png,21.521
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00030.png,34.018
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00031.png,22.789
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00032.png,35.794
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00033.png,-2.110
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00034.png,-2.408
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00035.png,10.831
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00036.png,-13.059
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00037.png,-26.791
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00038.png,33.450
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00039.png,44.067
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00040.png,3.527
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00041.png,35.230
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00042.png,30.543
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00043.png,28.244
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00044.png,-19.514
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00045.png,27.426
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00046.png,31.350
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00047.png,-29.737
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00048.png,45.511
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00049.png,-10.824
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00050.png,44.472
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00051.png,0.683
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00052.png,12.948
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00053.png,46.410
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00054.png,25.718
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00055.png,-29.795
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00056.png,32.136
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00057.png,22.309
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00058.png,41.048
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00059.png,-4.265
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00060.png,36.721
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00061.png,13.919
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00062.png,-26.448
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00063.png,30.924
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00064.png,-17.882
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00065.png,23.361
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00066.png,17.243
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00067.png,28.273
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00068.png,8.473
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00069.png,-1.713
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00070.png,20.801
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00071.png,-3.907
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00072.png,24.508
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00073.png,7.741
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00074.png,38.687
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00075.png,3.457
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00076.png,14.801
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00077.png,-14.857
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00078.png,8.791
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00079.png,34.092
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00080.png,10.232
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00081.png,11.850
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00082.png,42.138
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00083.png,42.965
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00084.png,35.717
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00085.png,-5.961
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00086.png,-11.058
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00087.png,8.062
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00088.png,44.379
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00089.png,17.773
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00090.png,2.978
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00091.png,28.149
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00092.png,1.256
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00093.png,-29.431
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00094.png,43.847
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00095.png,16.642
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00096.png,17.254
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00097.png,-25.710
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00098.png,13.143
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00099.png,10.646
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00100.png,23.429
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00101.png,11.841
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00102.png,23.573
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00103.png,36.532
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00104.png,-12.434
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00105.png,37.901
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00106.png,17.787
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00107.png,24.069
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00108.png,38.462
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00109.png,13.539
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00110.png,17.539
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00111.png,16.973
tmp/synth_gauge_pretrain_v1/images/synthetic_gauge_00112.png,-18.423
