image_path,source_width,source_height,center_x_source,center_y_source,tip_x_source,tip_y_source,temperature_c,label_quality,quality_flag,notes,label_source,origin_manifest,angle_source,true_angle_degrees,center_tip_distance_pixels,crop_x_min,crop_y_min,crop_x_max,crop_y_max
ml/data/captured_images/big_18-56-04.png,448,448,235.428571,208.914286,317.257143,180.114286,,manual,review,,manual_gui,/home/rishi_latchmepersad/Projects/embedded-gauge-reading-tinyml/tmp/board_center_tip_review_batch.csv,geometry,340.61021,86.748805,46,115,357,361
ml/data/captured_images/capture_0007.png,224,224,97.142857,126.857143,117.485714,102.4,,manual,review,,manual_gui,/home/rishi_latchmepersad/Projects/embedded-gauge-reading-tinyml/tmp/board_center_tip_review_batch.csv,geometry,309.752861,31.811691,23,57,178,180
ml/data/captured_images/capture_2026-04-03_08-15-32.png,224,224,104.457143,74.971429,168.228571,48.228571,,manual,review,,manual_gui,/home/rishi_latchmepersad/Projects/embedded-gauge-reading-tinyml/tmp/board_center_tip_review_batch.csv,geometry,337.249024,69.151829,23,57,178,180
ml/data/captured_images/capture_2026-04-09_06-50-28.png,224,224,91.2,93.257143,131.885714,68.114286,,manual,review,,manual_gui,/home/rishi_latchmepersad/Projects/embedded-gauge-reading-tinyml/tmp/board_center_tip_review_batch.csv,geometry,328.284866,47.827718,23,57,178,180
ml/data/captured_images/capture_2026-04-15_13-27-05.png,224,224,98.057143,107.657143,131.657143,119.085714,,manual,review,,manual_gui,/home/rishi_latchmepersad/Projects/embedded-gauge-reading-tinyml/tmp/board_center_tip_review_batch.csv,geometry,18.785021,35.490453,23,57,178,180
ml/data/captured_images/capture_2026-04-18_14-51-12.yuv422,224,224,118.628571,109.257143,165.028571,97.142857,,manual,review,,manual_gui,/home/rishi_latchmepersad/Projects/embedded-gauge-reading-tinyml/tmp/board_center_tip_review_batch.csv,geometry,345.367637,47.955353,23,57,178,180
ml/data/captured_images/capture_2026-04-19_16-40-52.png,224,224,119.771429,131.428571,160.685714,120.228571,,manual,review,,manual_gui,/home/rishi_latchmepersad/Projects/embedded-gauge-reading-tinyml/tmp/board_center_tip_review_batch.csv,geometry,344.690727,42.419557,23,57,178,180
ml/data/captured_images/capture_2026-04-20_16-11-24.png,224,224,129.6,104.685714,180.114286,89.6,,manual,review,,manual_gui,/home/rishi_latchmepersad/Projects/embedded-gauge-reading-tinyml/tmp/board_center_tip_review_batch.csv,geometry,343.372138,52.7188,23,57,178,180
ml/data/captured_images/capture_2026-04-22_07-25-57.png,224,224,112.457143,108.342857,136.457143,90.971429,,manual,review,,manual_gui,/home/rishi_latchmepersad/Projects/embedded-gauge-reading-tinyml/tmp/board_center_tip_review_batch.csv,geometry,324.102622,29.627125,23,57,178,180
ml/data/captured_images/capture_2026-04-24_22-30-21.png,224,224,111.542857,111.085714,113.828571,71.085714,,manual,review,,manual_gui,/home/rishi_latchmepersad/Projects/embedded-gauge-reading-tinyml/tmp/board_center_tip_review_batch.csv,geometry,273.270488,40.065253,23,57,178,180
