image_path,center_x,center_y,temperature_c,bbox_x_min,bbox_y_min,bbox_x_max,bbox_y_max,label_quality,temperature_source,bbox_source
captured_images/ann_13-00-52.png,128.0,147.0,30.0,0,0,224,224,board_labeled,merged_geometry_board_manifest.csv,merged_geometry_board_manifest.csv
captured_images/ann_13-10-33.png,129.0,147.0,,,,,,center_only,,
captured_images/ann_18-48-42.png,128.0,148.0,,,,,,center_only,,
captured_images/ann_18-53-38.png,125.0,128.0,35.0,0,0,224,224,board_labeled,merged_geometry_board_manifest.csv,merged_geometry_board_manifest.csv
captured_images/ann_18-54-51.png,128.0,116.0,,,,,,center_only,,
captured_images/ann_18-56-43.png,115.0,122.0,,,,,,center_only,,
captured_images/big_18-53-38.png,130.0,115.0,35.0,0,0,224,224,board_labeled,merged_geometry_board_manifest.csv,merged_geometry_board_manifest.csv
captured_images/big_18-54-51.png,224.0,224.0,,,,,,center_only,,
captured_images/big_18-56-04.png,100.0,118.0,,,,,,center_only,,
captured_images/big_18-56-43.png,100.0,118.0,,,,,,center_only,,
captured_images/biglook_18-54-51.png,130.0,115.0,,,,,,center_only,,
captured_images/capture_0003_preview.png,114.2,93.4,,,,,,center_only,,
captured_images/capture_0004_preview.png,112.6,115.7,,,,,,center_only,,
captured_images/capture_0005_preview.png,128.0,128.0,,,,,,center_only,,
captured_images/capture_0006_preview.png,131.5,114.8,,,,,,center_only,,
captured_images/capture_0007.gray.png,125.0,130.0,18.0,0,0,224,224,board_labeled,merged_geometry_board_manifest.csv,merged_geometry_board_manifest.csv
captured_images/capture_0007.png,75.0,127.0,18.0,0,0,224,224,board_labeled,merged_geometry_board_manifest.csv,merged_geometry_board_manifest.csv
captured_images/capture_0007_uyvy.png,129.7,102.0,18.0,0,0,224,224,board_labeled,merged_geometry_board_manifest.csv,merged_geometry_board_manifest.csv
captured_images/capture_0007_yuy2.png,134.0,131.0,18.0,0,0,224,224,board_labeled,merged_geometry_board_manifest.csv,merged_geometry_board_manifest.csv
captured_images/capture_0008.gray.png,131.0,127.0,22.0,0,0,224,224,board_labeled,merged_geometry_board_manifest.csv,merged_geometry_board_manifest.csv
captured_images/capture_0008.png,131.0,127.0,22.0,0,0,224,224,board_labeled,merged_geometry_board_manifest.csv,merged_geometry_board_manifest.csv
captured_images/capture_0008_preview.png,131.0,127.0,22.0,0,0,224,224,board_labeled,merged_geometry_board_manifest.csv,merged_geometry_board_manifest.csv
captured_images/capture_0073.gray.png,95.0,164.0,46.0,0,0,224,224,board_labeled,merged_geometry_board_manifest.csv,merged_geometry_board_manifest.csv
captured_images/capture_0073.png,95.0,164.0,46.0,0,0,224,224,board_labeled,merged_geometry_board_manifest.csv,merged_geometry_board_manifest.csv
