image_path,value,x0,y0,x1,y1
ml/data/captured_images/capture_m30c_preview.png,-30.0,23.00,57.64,178.91,180.79
ml/data/raw/PXL_20260125_114517176.jpg,-29.0,23.00,57.64,178.91,180.79
ml/data/raw/PXL_20260125_114520969.jpg,-29.0,23.00,57.64,178.91,180.79
ml/data/raw/PXL_20260125_114524322.jpg,-29.0,23.00,57.64,178.91,180.79
ml/data/raw/PXL_20260125_114527337.jpg,-29.0,23.00,57.64,178.91,180.79
ml/data/raw/PXL_20260125_114529783.jpg,-29.0,23.00,57.64,178.91,180.79
ml/data/raw/PXL_20260125_114531276.jpg,-29.0,23.00,57.64,178.91,180.79
ml/data/raw/PXL_20260125_114532964.jpg,-29.0,23.00,57.64,178.91,180.79
ml/data/raw/PXL_20260125_114534732.jpg,-29.0,23.00,57.64,178.91,180.79
ml/data/raw/PXL_20260125_114536986.jpg,-29.0,23.00,57.64,178.91,180.79
ml/data/raw/PXL_20260125_114538442.jpg,-29.0,23.00,57.64,178.91,180.79
ml/data/raw/PXL_20260125_114540819.jpg,-29.0,23.00,57.64,178.91,180.79
ml/data/raw/PXL_20260125_114541776.jpg,-29.0,23.00,57.64,178.91,180.79
ml/data/raw/PXL_20260125_114543193.jpg,-29.0,23.00,57.64,178.91,180.79
ml/data/raw/PXL_20260125_114544203.jpg,-29.0,23.00,57.64,178.91,180.79
ml/data/raw/PXL_20260125_114546762.jpg,-29.0,23.00,57.64,178.91,180.79
ml/data/raw/PXL_20260125_114548536.jpg,-29.0,23.00,57.64,178.91,180.79
ml/data/raw/PXL_20260125_114549307.jpg,-29.0,23.00,57.64,178.91,180.79
ml/data/raw/PXL_20260125_114550243.jpg,-29.0,23.00,57.64,178.91,180.79
ml/data/raw/PXL_20260125_114552322.jpg,-29.0,23.00,57.64,178.91,180.79
ml/data/raw/PXL_20260125_114553434.jpg,-29.0,23.00,57.64,178.91,180.79
ml/data/raw/PXL_20260125_114554365.jpg,-29.0,23.00,57.64,178.91,180.79
ml/data/raw/PXL_20260125_114555470.jpg,-29.0,23.00,57.64,178.91,180.79
ml/data/raw/PXL_20260125_114556873.jpg,-29.0,23.00,57.64,178.91,180.79
ml/data/raw/PXL_20260125_114606035.jpg,-29.0,23.00,57.64,178.91,180.79
ml/data/raw/PXL_20260125_114611913.jpg,-29.0,23.00,57.64,178.91,180.79
ml/data/raw/PXL_20260125_114631441.jpg,-29.0,23.00,57.64,178.91,180.79
ml/data/raw/PXL_20260125_114637155.jpg,-29.0,23.00,57.64,178.91,180.79
