image_path,value,x0,y0,x1,y1
ml/data/raw/PXL_20260125_114517176.jpg,-29,0.00,323.30,3472.00,4462.40
ml/data/raw/PXL_20260125_114520969.jpg,-29,0.00,208.15,3472.00,4251.71
ml/data/raw/PXL_20260125_114524235.jpg,30,0.00,148.07,3472.00,4390.60
ml/data/raw/PXL_20260125_114524322.jpg,-29,0.00,0.00,3472.00,4036.04
ml/data/raw/PXL_20260125_114527337.jpg,-29,0.00,0.00,3472.00,3952.26
ml/data/raw/PXL_20260125_114529783.jpg,-29,0.00,0.00,3472.00,3846.23
ml/data/raw/PXL_20260125_114531276.jpg,-29,0.00,0.93,3472.00,4116.26
ml/data/raw/PXL_20260125_114532964.jpg,-29,0.00,271.67,3472.00,4224.34
ml/data/raw/PXL_20260125_114534732.jpg,-29,0.00,194.65,3373.28,4098.75
ml/data/raw/PXL_20260125_114536986.jpg,-29,0.00,0.00,3472.00,4065.73
ml/data/raw/PXL_20260125_114538442.jpg,-29,0.00,0.00,3472.00,3864.73
ml/data/raw/PXL_20260125_114540819.jpg,-29,23.00,57.64,178.91,180.79
ml/data/raw/PXL_20260125_114541776.jpg,-29,23.00,57.64,178.91,180.79
ml/data/raw/PXL_20260125_114543193.jpg,-29,0.00,0.00,3424.42,3950.40
ml/data/raw/PXL_20260125_114544203.jpg,-29,0.00,10.03,3472.00,4101.29
ml/data/raw/PXL_20260125_114546762.jpg,-29,0.00,94.26,3472.00,4009.62
ml/data/raw/PXL_20260125_114548536.jpg,-29,0.00,322.72,3188.23,3853.66
ml/data/raw/PXL_20260125_114549307.jpg,-29,0.00,73.22,2911.41,3896.79
ml/data/raw/PXL_20260125_114550243.jpg,-29,0.00,192.34,3472.00,4031.87
ml/data/raw/PXL_20260125_114552322.jpg,-29,0.00,0.00,3472.00,3970.55
ml/data/raw/PXL_20260125_114553434.jpg,-29,0.00,148.66,3472.00,3973.57
ml/data/raw/PXL_20260125_114554365.jpg,-29,0.00,0.00,3472.00,4080.20
ml/data/raw/PXL_20260125_114555470.jpg,-29,23.00,57.64,178.91,180.79
ml/data/raw/PXL_20260125_114556873.jpg,-29,23.00,57.64,178.91,180.79
ml/data/raw/PXL_20260125_114606035.jpg,-29,0.00,0.00,3472.00,3848.04
ml/data/raw/PXL_20260125_114611913.jpg,-29,0.00,280.13,3472.00,4343.87
ml/data/raw/PXL_20260125_114631441.jpg,-29,0.00,485.44,2728.60,4430.91
ml/data/raw/PXL_20260125_114637155.jpg,-29,0.00,113.69,3073.59,4253.52
ml/data/raw/PXL_20260125_114642671.jpg,-29,0.00,154.29,3093.60,4310.84
ml/data/raw/PXL_20260125_114653836.jpg,-29,0.00,432.57,3372.08,4405.43
ml/data/raw/PXL_20260125_114751509.jpg,-29,0.00,0.00,3126.18,3888.46
ml/data/raw/PXL_20260125_114841596.jpg,-17.5,0.00,156.02,3375.46,4091.48
ml/data/raw/PXL_20260125_114842502.jpg,-17.5,0.00,651.21,3472.00,4487.23
ml/data/raw/PXL_20260125_114843309.jpg,-17.5,0.00,116.79,3472.00,4218.15
ml/data/raw/PXL_20260125_114844155.jpg,-17.5,0.00,74.04,3472.00,4287.08
ml/data/raw/PXL_20260125_114845174.jpg,-17.5,0.00,244.29,3329.11,4252.44
ml/data/raw/PXL_20260125_114845992.jpg,-17.5,0.00,237.07,3384.26,4253.57
ml/data/raw/PXL_20260125_114847037.jpg,-17.5,0.00,23.06,3472.00,4220.07
ml/data/raw/PXL_20260125_114848028.jpg,-17.5,0.00,0.00,3472.00,4227.95
ml/data/raw/PXL_20260125_114848857.jpg,-17.5,23.00,57.64,178.91,180.79
ml/data/raw/PXL_20260125_114850084.jpg,-29,0.00,555.74,3297.04,4426.30
ml/data/raw/PXL_20260125_114850916.jpg,-17.5,0.00,497.10,3278.35,4624.00
ml/data/raw/PXL_20260125_114851923.jpg,-17.5,0.00,521.40,3420.35,4624.00
ml/data/raw/PXL_20260125_114854789.jpg,-29,0.00,596.31,3434.35,4413.18
ml/data/raw/PXL_20260125_114857049.jpg,-17.5,0.00,590.61,3335.67,4413.05
